,0
v_t0.5_10_4,6.139044110635568e-23
prev_11_9,6.951709996127172e-23
b1_t0.05_11_9,7.00766405073884e-23
sep_10_4,7.300077639601627e-23
b0_t0.25_11_2,8.097375171443348e-23
h1_v_11_4,8.132305446343833e-23
h0_n_d_m_t0.75_11_2,8.562111226335733e-23
b0_t0.75_10_8,9.337670834660438e-23
sep_11_3,9.749769318775956e-23
e_t0.1_10_2,9.939514205108427e-23
b1_t0.25_10_10,1.009505232537549e-22
h1_e_11_6,1.0399400246610443e-22
h1_s_9_1,1.1190768835290697e-22
prev_11_1,1.2118325190455381e-22
e_t0.05_11_2,1.2607316714140807e-22
e_t0.025_10_2,1.317512907740923e-22
h1_n_b_l_t0.95_8_10,1.3711745639758554e-22
h1_n_b_m_t0.25_8_10,1.4640138855360737e-22
h1_nb_8_10,1.4640138855360737e-22
b0_t0.5_10_7,1.5068702283933946e-22
k_t0.05_11_5,1.5362541693645174e-22
h1_n_b_l_t0.95_9_1,1.5535398208745897e-22
h1_e_10_0,1.6261467338478397e-22
b0_t0.75_9_5,1.6561597395376246e-22
b1_t0.025_11_2,1.7455209654050005e-22
h0_s_11_2,1.7844061121631668e-22
v_t0.025_10_4,1.8382294571379503e-22
h0_s_10_8,1.896601051572286e-22
v_t0.05_9_11,2.031884198037138e-22
self_10_7,2.1234864109397843e-22
prev_11_5,2.145088583959516e-22
h1_t_b_9_5,2.147607858394009e-22
h0_n_d_m_t0.5_10_7,2.159376398335003e-22
v_t0.025_10_0,2.1803792144102117e-22
v_t0.1_10_6,2.190134438455945e-22
b1_t0.05_11_7,2.542266286093334e-22
h1_s_8_10,2.674043527059313e-22
h0_t_d_10_7,2.9964807305815567e-22
prev_9_11,3.1749254334501457e-22
m_t0.25_10_4,3.189520231722449e-22
v_t0.5_10_6,3.5351724606431614e-22
b1_t0.1_10_8,3.5875028998399853e-22
m_t0.25_10_1,3.6777744682208296e-22
h1_e_11_8,4.614891125313666e-22
b0_t0.5_10_0,4.696013326091409e-22
h0_s_11_9,4.719095438466952e-22
self_11_9,5.284627139792636e-22
h0_n_d_m_t0.5_10_0,5.616685211584164e-22
h1_v_10_0,6.119497904534847e-22
next_9_6,6.273674070051982e-22
e_t0.05_10_9,7.029225509929987e-22
h1_s_9_6,7.340908424281653e-22
prev_7_6,7.414468204567657e-22
e_t0.1_11_0,7.626249315465635e-22
v_t0.25_10_11,8.91805295326442e-22
c_t0.05_9_11,8.971105536870279e-22
k_t0.1_10_0,9.55943968916223e-22
v_t0.5_11_5,1.0656375200519892e-21
m_t0.05_11_2,1.0906936260086247e-21
k_t0.1_9_5,1.1277628721023072e-21
h0_s_9_5,1.5119508737602433e-21
next_11_5,1.5592746990692852e-21
v_t0.5_10_9,1.6596558239452623e-21
h1_t_b_8_10,1.6884227360450373e-21
e_t0.1_10_0,1.7208634435062733e-21
v_t0.75_10_8,1.795103051344334e-21
h0_n_d_m_t0.5_11_7,1.8924919215437326e-21
b0_t0.5_11_7,2.0437225225438212e-21
beginning_11_10,2.069615934346131e-21
e_t0.1_11_9,2.3236455360788487e-21
h0_n_d_m_t0.75_11_8,2.3255426042756135e-21
m_t0.1_10_10,2.545204236082045e-21
